Métrica,MAE Centralizado,MAE Federado,Melhor MAE,RMSE Centralizado,RMSE Federado,Melhor RMSE,R² Centralizado,R² Federado,Melhor R²
memory,917287.1454696228,917477.8155364206,Centralizado,1142288.0094153087,1142520.653710636,Centralizado,0.07170067560340398,0.07209279767516064,Federado
cpu,0.0010770228170397516,0.001085630954015024,Centralizado,0.0038775215184191835,0.0038777280840189606,Centralizado,0.0004607866207372302,0.00029981104725385066,Centralizado
network_receive,4463.137668489045,4487.622745867953,Centralizado,5234.614986818951,5254.112637358526,Centralizado,0.9999997187017132,0.9999997186022854,Centralizado
network_transmit,49136.585131139735,49090.650917537045,Federado,69984.59587040599,69906.18789254762,Federado,0.9999995332940014,0.9999995376331025,Federado
